Zipcode, Latest_File, Last_Updated
01420,results_MA/01420_CI5_121119_15_28_25.csv,12/11/19 15:28
02722,results_MA/02722_CI1_121119_15_29_18.csv,12/11/19 15:29
02043,results_MA/02043_CI1_121119_15_29_01.csv,12/11/19 15:29
01090,results_MA/01090_CI4_121119_15_28_14.csv,12/11/19 15:28
01202,results_MA/01202_CI4_120819_14_30_33.csv,12/08/19 14:30
01129,results_MA/01129_CI4_120819_14_32_11.csv,12/08/19 14:32
02210,results_MA/02210_CI2_120819_14_36_00.csv,12/08/19 14:36
02452,results_MA/02452_CI2_120819_14_34_42.csv,12/08/19 14:34
01029,results_MA/01029_CI4_120819_14_37_27.csv,12/08/19 14:37
01084,results_MA/01084_CI4_120819_14_31_13.csv,12/08/19 14:31
01537,results_MA/01537_CI1_120819_14_33_08.csv,12/08/19 14:33
01453,results_MA/01453_CI1_120819_14_34_08.csv,12/08/19 14:34
02643,results_MA/02643_CI2_120819_14_38_17.csv,12/08/19 14:38
01852,results_MA/01852_CI1_120819_14_35_45.csv,12/08/19 14:35
02475,results_MA/02475_CI2_120819_14_35_16.csv,12/08/19 14:35
01342,results_MA/01342_CI4_121119_15_28_16.csv,12/11/19 15:28
01902,results_MA/01902_CI1_120819_14_33_52.csv,12/08/19 14:33
01477,results_MA/01477_CI1_121119_15_28_47.csv,12/11/19 15:28
02445,results_MA/02445_CI2_120819_14_35_03.csv,12/08/19 14:35
02714,results_MA/02714_CI2_120819_14_31_28.csv,12/08/19 14:31
01368,results_MA/01368_CI1_120819_14_32_21.csv,12/08/19 14:32
02332,results_MA/02332_CI2_120819_14_30_03.csv,12/08/19 14:30
02771,results_MA/02771_CI1_120819_14_36_05.csv,12/08/19 14:36
01079,results_MA/01079_CI1_120819_14_35_30.csv,12/08/19 14:35
01257,results_MA/01257_CI1_120819_14_31_16.csv,12/08/19 14:31
01801,results_MA/01801_CI2_120819_14_35_39.csv,12/08/19 14:35
02537,results_MA/02537_CI2_120819_14_38_22.csv,12/08/19 14:38
01506,results_MA/01506_CI1_120819_14_30_55.csv,12/08/19 14:30
02791,results_MA/02791_CI2_120819_14_34_09.csv,12/08/19 14:34
02563,results_MA/02563_CI2_120819_14_33_24.csv,12/08/19 14:33
01244,results_MA/01244_CI1_120819_14_34_45.csv,12/08/19 14:34
02667,results_MA/02667_CI2_120819_14_32_17.csv,12/08/19 14:32
01503,results_MA/01503_CI1_121119_15_29_16.csv,12/11/19 15:29
02746,results_MA/02746_CI2_120819_14_36_33.csv,12/08/19 14:36
02663,results_MA/02663_CI2_120819_14_32_11.csv,12/08/19 14:32
01778,results_MA/01778_CI2_120819_14_36_10.csv,12/08/19 14:36
01119,results_MA/01119_CI4_121119_15_28_13.csv,12/11/19 15:28
02054,results_MA/02054_CI2_120819_14_36_43.csv,12/08/19 14:36
02739,results_MA/02739_CI2_121119_15_29_26.csv,12/11/19 15:29
