State,Zipcode,Website,Service Territory,Customer Class,Pricing,Contract Term,Minimum Monthly Cost,Maximum Monthly Cost,Minimum Contract Term,Maximum Contract Term,Date Downloaded,Default_Monthly_kWh
Massachusetts,ma_02466,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02467,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02465,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02471,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02459,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02458,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02464,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02460,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02474,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02475,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02461,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02477,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02462,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
