Zipcode, Latest_File, Last_Updated
01331,results_MA/01331_CI1_120719_16_31_59.csv,12/07/19 16:31
02777,results_MA/02777_CI1_120719_16_31_59.csv,12/07/19 16:31
02366,results_MA/02366_CI2_120719_16_32_00.csv,12/07/19 16:32
02131,results_MA/02131_CI2_120719_16_32_32.csv,12/07/19 16:32
01344,results_MA/01344_CI1_120719_16_32_33.csv,12/07/19 16:32
01367,results_MA/01367_CI1_120719_16_32_33.csv,12/07/19 16:32
01118,results_MA/01118_CI4_120719_16_32_34.csv,12/07/19 16:32
01264,results_MA/01264_CI4_120719_16_32_34.csv,12/07/19 16:32
01469,results_MA/01469_CI5_120719_16_32_35.csv,12/07/19 16:32
01222,results_MA/01222_CI1_120719_16_32_35.csv,12/07/19 16:32
02474,results_MA/02474_CI2_120719_16_32_36.csv,12/07/19 16:32
02575,results_MA/02575_CI2_120719_16_32_36.csv,12/07/19 16:32
02134,results_MA/02134_CI2_120719_16_32_37.csv,12/07/19 16:32
01929,results_MA/01929_CI1_120719_16_32_37.csv,12/07/19 16:32
01360,results_MA/01360_CI4_120719_16_32_38.csv,12/07/19 16:32
02720,results_MA/02720_CI1_120719_16_32_38.csv,12/07/19 16:32
01757,results_MA/01757_CI1_120719_16_32_39.csv,12/07/19 16:32
01754,results_MA/01754_CI2_120719_16_32_39.csv,12/07/19 16:32
02056,results_MA/02056_CI2_120719_16_32_40.csv,12/07/19 16:32
01984,results_MA/01984_CI1_120719_16_32_40.csv,12/07/19 16:32
02702,results_MA/02702_CI2_120719_16_32_41.csv,12/07/19 16:32
02657,results_MA/02657_CI2_120719_16_32_41.csv,12/07/19 16:32
01562,results_MA/01562_CI1_120719_16_32_42.csv,12/07/19 16:32
01129,results_MA/01129_CI4_120719_16_32_42.csv,12/07/19 16:32
01033,results_MA/01033_CI1_120719_16_32_43.csv,12/07/19 16:32
01230,results_MA/01230_CI1_120719_16_32_43.csv,12/07/19 16:32
01092,results_MA/01092_CI1_120719_16_32_44.csv,12/07/19 16:32
01062,results_MA/01062_CI1_120719_16_32_44.csv,12/07/19 16:32
01742,results_MA/01742_CI2_120719_16_32_45.csv,12/07/19 16:32
01347,results_MA/01347_CI4_120719_16_32_45.csv,12/07/19 16:32
01568,results_MA/01568_CI1_120719_16_32_46.csv,12/07/19 16:32
01906,results_MA/01906_CI1_120719_16_32_46.csv,12/07/19 16:32
01876,results_MA/01876_CI1_120719_16_32_47.csv,12/07/19 16:32
02539,results_MA/02539_CI2_120719_16_32_47.csv,12/07/19 16:32
02345,results_MA/02345_CI2_120719_16_32_48.csv,12/07/19 16:32
01036,results_MA/01036_CI1_120719_16_32_49.csv,12/07/19 16:32
02052,results_MA/02052_CI2_120719_16_32_49.csv,12/07/19 16:32
02723,results_MA/02723_CI1_120719_16_32_50.csv,12/07/19 16:32
01904,results_MA/01904_CI1_120719_16_32_50.csv,12/07/19 16:32
01104,results_MA/01104_CI4_120719_16_32_51.csv,12/07/19 16:32
02671,results_MA/02671_CI2_120719_16_32_51.csv,12/07/19 16:32
01094,results_MA/01094_CI1_120719_16_32_52.csv,12/07/19 16:32
01821,results_MA/01821_CI1_120719_16_32_52.csv,12/07/19 16:32
02445,results_MA/02445_CI2_120719_16_32_53.csv,12/07/19 16:32
