Supplier_Name,Rate_Type,Fixed_Charge,Variable_Rate,Introductory_Rate,Introductory_Price_Value,Enrollment_Fee,Contract_Term,Early_Termination_Fee,Automatic_Renewal_Type,Automatic_Renewal_Detail,Percent_Renewable,Renewable_Description,Incentives_Special_Terms,Incumbent_Flag,Estimated_Cost,Other_Product_Services,Zipcode,Date_Downloaded
NSTAR d/b/a Eversource Energy,,,0.10836,False,,,Jul '19 through Dec '19 |Jan '20 through Jun '20 ,,False,,0.0,,,True,72.9828,,02124,11/25/19 15:33
Indra Energy MA,Fixed,,0.162,True,13.40 ¢/kWh for initial 1 months,,14 months,,True,Automatic renewal: Variable-price product,0.0,,,False,96.0,,02124,11/25/19 15:33
Direct Energy Services,Fixed,,0.1219,False,,,14 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,73.14,,02124,11/25/19 15:33
Eligo Energy MA,Fixed,,0.142,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,85.2,,02124,11/25/19 15:33
SFE Energy Massachusetts,Fixed,,0.1567,True,14.30 ¢/kWh for initial 1 months,,36 months,$2.50 per month remaining on term,True,Automatic renewal: Fixed-price product,0.0,,"SFE will purchase and retire, an amount of Emissions Credits to offset 100% of CO2 or CO2e produced based on your Electricity usage amount.|If you don’t save money over the course of your
term, you will be eligible for up to a $75 rebate for
your 3-year program",False,93.7916,"Carbon Offset,Cash Back",02124,11/25/19 15:33
Green Mountain Energy,Fixed,,0.13699999999999998,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,82.2,,02124,11/25/19 15:33
Think Energy,Fixed,,0.11599999999999999,False,,,24 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,69.6,,02124,11/25/19 15:33
Town Square Energy,Fixed,,0.1097,False,,,36 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,,False,65.82,,02124,11/25/19 15:33
Indra Energy MA,Fixed,,0.16399999999999998,True,13.40 ¢/kWh for initial 1 months,,18 months,,True,Automatic renewal: Variable-price product,100.0,Other | 100%,,False,97.4,,02124,11/25/19 15:33
Liberty Power Holdings,Fixed,,0.11588,False,,,24 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,100.0,Unknown | 100%,Sign up or renew a fixed-rate plan & earn $25 gift card at 3 months and another at 12 months. Total $50! Energy rate may vary by zip code.,False,69.528,Gift Card,02124,11/25/19 15:33
Just Energy Massachusetts,Fixed,,0.1249,False,,,24 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,"You’ll receive 12,000 Just Energy Perks points equivalent to $120 and 2 FREE LED bulbs.
Visit www.justenergyperks.com",False,74.94,Rewards Programs,02124,11/25/19 15:33
Constellation New Energy,Fixed,,0.12789999999999999,False,,,24 months,$150.00,True,Automatic renewal: Fixed-price product,100.0,Wind | 100%,,False,76.74,,02124,11/25/19 15:33
Residents Energy,Fixed,,0.1047,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,62.82,,02124,11/25/19 15:33
IGS Energy,Fixed,,0.12890000000000001,False,,,12 months,$99.00,True,Automatic renewal: Variable-price product,0.0,,,False,77.34,,02124,11/25/19 15:33
Verde Energy USA,Fixed,,0.12990000000000002,False,,,24 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%",$100 rebate- Receive the first $50 after one month of service and the second $50 after 6 months of service.,False,77.94,Cash Back,02124,11/25/19 15:33
Verde Energy USA,Fixed,,0.12990000000000002,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%","Mail-in rebate totaling $100. 
First month receive first $50, after your sixth month receive second $50!",False,77.94,Cash Back,02124,11/25/19 15:33
Constellation New Energy,Fixed,,0.1109,False,,,12 months,$150.00,True,Automatic renewal: Variable-price product,0.0,,,False,66.54,,02124,11/25/19 15:33
Starion Energy,Fixed,,0.11289999999999999,False,,,8 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,67.74,"Gift Card,Rewards Programs",02124,11/25/19 15:33
SmartEnergy,Fixed,,0.149,False,,,6 months,,True,Automatic renewal: Variable-price product,100.0,Other | 100%,,False,89.4,,02124,11/25/19 15:33
Starion Energy,Fixed,,0.1099,False,,,8 months,,True,Automatic renewal: Variable-price product,0.0,,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,65.94,"Gift Card,Rewards Programs",02124,11/25/19 15:33
Sunwave Gas & Power,Fixed,,0.1439,False,,,6 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,86.34,,02124,11/25/19 15:33
