Supplier_Name,Rate_Type,Fixed_Charge,Variable_Rate,Introductory_Rate,Introductory_Price_Value,Enrollment_Fee,Contract_Term,Early_Termination_Fee,Automatic_Renewal_Type,Automatic_Renewal_Detail,Percent_Renewable,Renewable_Description,Incentives_Special_Terms,Incumbent_Flag,Estimated_Cost,Other_Product_Services,Zipcode,Date_Downloaded
WMECo d/b/a Eversource Energy,,,0.09851000000000001,False,,,Jul '19 through Dec '19 |Jan '20 through Jun '20 ,,False,,0.0,,,True,59.106,,01223,11/25/19 15:33
Liberty Power Holdings,Fixed,,0.10888999999999999,False,,,24 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,100.0,Unknown | 100%,Sign up or renew a fixed-rate plan & earn $25 gift card at 3 months and another at 12 months. Total $50! Energy rate may vary by zip code.,False,65.334,Gift Card,01223,11/25/19 15:33
Eligo Energy MA,Fixed,,0.1244,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,74.64,,01223,11/25/19 15:33
Starion Energy,Fixed,,0.1199,False,,,8 months,,True,Automatic renewal: Variable-price product,0.0,,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,71.94,"Gift Card,Rewards Programs",01223,11/25/19 15:33
Verde Energy USA,Fixed,,0.1195,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%",Mail-in rebate totaling $100. Receive the first $50 after one month of service and the second $50 after 6 months of service.,False,71.7,Cash Back,01223,11/25/19 15:33
Think Energy,Fixed,,0.134,False,,,6 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,80.4,,01223,11/25/19 15:33
Starion Energy,Fixed,,0.10890000000000001,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,65.34,"Gift Card,Rewards Programs",01223,11/25/19 15:33
Constellation New Energy,Fixed,,0.1219,False,,,6 months,$150.00,True,Automatic renewal: Variable-price product,0.0,,,False,73.14,,01223,11/25/19 15:33
IGS Energy,Fixed,,0.1159,False,,,12 months,$99.00,True,Automatic renewal: Variable-price product,0.0,,,False,69.54,,01223,11/25/19 15:33
Eligo Energy MA,Fixed,,0.1103,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,66.18,,01223,11/25/19 15:33
