Supplier_Name,Rate_Type,Fixed_Charge,Variable_Rate,Introductory_Rate,Introductory_Price_Value,Enrollment_Fee,Contract_Term,Early_Termination_Fee,Automatic_Renewal_Type,Automatic_Renewal_Detail,Percent_Renewable,Renewable_Description,Incentives_Special_Terms,Incumbent_Flag,Estimated_Cost,Other_Product_Services,Zipcode,Date_Downloaded
WMECo d/b/a Eversource Energy,,,0.09851000000000001,False,,,Jul '19 through Dec '19 |Jan '20 through Jun '20 ,,False,,0.0,,,True,59.106,,01077,12/02/19 00:14
Verde Energy USA,Fixed,,0.1185,False,,,24 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%",,False,71.1,,01077,12/02/19 00:14
Eligo Energy MA,Fixed,,0.1103,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,66.18,,01077,12/02/19 00:14
NRG Home,Fixed,,0.139,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,83.4,,01077,12/02/19 00:14
Town Square Energy,Fixed,,0.1148,False,,,24 months,,True,Automatic renewal: Variable-price product,0.0,,,False,68.88,,01077,12/02/19 00:14
Discount Power,Fixed,,0.12300000000000001,False,,,36 months,$200.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,"Receive $1,200 annually in Discount Power Rewards. Save on shopping, dinning, travel, movies and so much more!",False,73.8,Rewards Programs,01077,12/02/19 00:14
Eligo Energy MA,Fixed,,0.1244,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,74.64,,01077,12/02/19 00:14
Energy Rewards,Fixed,,0.1099,False,,,6 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,65.94,,01077,12/02/19 00:14
Constellation New Energy,Fixed,,0.1219,False,,,6 months,$150.00,True,Automatic renewal: Variable-price product,0.0,,,False,73.14,,01077,12/02/19 00:14
Think Energy,Fixed,,0.126,False,,,18 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,75.6,,01077,12/02/19 00:14
Discount Power,Fixed,,0.126,False,,,12 months,$50.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,Eligible for a $100 monthly shopping and dining reward upon successful service start with Discount Power,False,75.6,Rewards Programs,01077,12/02/19 00:14
Starion Energy,Fixed,,0.10890000000000001,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,65.34,"Gift Card,Rewards Programs",01077,12/02/19 00:14
NRG Home,Fixed,,0.128,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,76.8,,01077,12/02/19 00:14
Verde Energy USA,Fixed,,0.1195,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%",Mail-in rebate totaling $100. Receive the first $50 after one month of service and the second $50 after 6 months of service.,False,71.7,Cash Back,01077,12/02/19 00:14
Verde Energy USA,Fixed,,0.1355,False,,,6 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%",,False,81.3,,01077,12/02/19 00:14
Constellation New Energy,Fixed,,0.1199,False,,,12 months,$150.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,71.94,,01077,12/02/19 00:14
Think Energy,Fixed,,0.127,False,,,12 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,76.2,,01077,12/02/19 00:14
Ambit Energy,Fixed,,0.115,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,,False,69.0,,01077,12/02/19 00:14
Massachusetts Gas & Electric,Fixed,,0.12390000000000001,False,,,24 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,74.34,,01077,12/02/19 00:14
Green Mountain Energy,Fixed,,0.126,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,75.6,,01077,12/02/19 00:14
SmartEnergy,Fixed,,0.161,False,,,6 months,,True,Automatic renewal: Variable-price product,100.0,Other | 100%,,False,96.6,,01077,12/02/19 00:14
Constellation New Energy,Fixed,,0.1039,False,,,12 months,$150.00,True,Automatic renewal: Variable-price product,0.0,,,False,62.34,,01077,12/02/19 00:14
