Supplier_Name,Rate_Type,Fixed_Charge,Variable_Rate,Introductory_Rate,Introductory_Price_Value,Enrollment_Fee,Contract_Term,Early_Termination_Fee,Automatic_Renewal_Type,Automatic_Renewal_Detail,Percent_Renewable,Renewable_Description,Incentives_Special_Terms,Incumbent_Flag,Estimated_Cost,Other_Product_Services,Zipcode,Date_Downloaded
Eligo Energy MA,Fixed,,0.11230000000000001,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,100.0,Unknown | 100%,,False,67.38,,01077,12/02/19 00:14
Think Energy,Fixed,,0.124,False,,,24 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,74.4,,01077,12/02/19 00:14
Massachusetts Gas & Electric,Fixed,,0.11789999999999999,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,70.74,,01077,12/02/19 00:14
SFE Energy Massachusetts,Fixed,,0.1369,True,12.32 ¢/kWh for initial 1 months,,36 months,$2.50 per month remaining on term,True,Automatic renewal: Fixed-price product,0.0,,"If you don’t save money over the course of your
term, you will be eligible for up to a $75 rebate for
your 3-year program",False,81.9116,Cash Back,01077,12/02/19 00:14
IGS Energy,Fixed,,0.1159,False,,,12 months,$99.00,True,Automatic renewal: Variable-price product,0.0,,,False,69.54,,01077,12/02/19 00:14
Starion Energy,Fixed,,0.1119,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,67.14,"Gift Card,Rewards Programs",01077,12/02/19 00:14
Ambit Energy,Fixed,,0.135,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,81.0,,01077,12/02/19 00:14
Indra Energy MA,Fixed,,0.149,True,10.20 ¢/kWh for initial 1 months,,18 months,,True,Automatic renewal: Variable-price product,100.0,Other | 100%,,False,87.8333,,01077,12/02/19 00:14
Starion Energy,Fixed,,0.1229,False,,,8 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,73.74,"Gift Card,Rewards Programs",01077,12/02/19 00:14
Discount Power,Fixed,,0.124,False,,,24 months,$100.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,Eligible for a $100 monthly shopping and dining reward upon successful service start with Discount Power,False,74.4,Rewards Programs,01077,12/02/19 00:14
Discount Power,Fixed,,0.11,False,,$50.00 enrollment fee,12 months,$50.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,70.1666,,01077,12/02/19 00:14
IGS Energy,Fixed,,0.11789999999999999,False,,,36 months,$99.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,70.74,,01077,12/02/19 00:14
Starion Energy,Fixed,,0.1199,False,,,8 months,,True,Automatic renewal: Variable-price product,0.0,,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,71.94,"Gift Card,Rewards Programs",01077,12/02/19 00:14
Town Square Energy,Fixed,,0.1052,False,,,12 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,,False,63.12,,01077,12/02/19 00:14
Town Square Energy,Fixed,,0.11779999999999999,False,,,36 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,,False,70.68,,01077,12/02/19 00:14
Think Energy,Fixed,,0.134,False,,,6 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,80.4,,01077,12/02/19 00:14
SFE Energy Massachusetts,Fixed,,0.1567,True,14.30 ¢/kWh for initial 1 months,,36 months,$2.50 per month remaining on term,True,Automatic renewal: Fixed-price product,0.0,,,False,93.7916,,01077,12/02/19 00:14
Indra Energy MA,Fixed,,0.142,True,10.20 ¢/kWh for initial 1 months,,14 months,,True,Automatic renewal: Variable-price product,0.0,,,False,83.4857,,01077,12/02/19 00:14
Ambit Energy,Fixed,,0.145,False,,,6 months,,True,Automatic renewal: Variable-price product,0.0,,,False,87.0,,01077,12/02/19 00:14
Eligo Energy MA,Fixed,,0.1264,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,100.0,Unknown | 100%,,False,75.84,,01077,12/02/19 00:14
Constellation New Energy,Fixed,,0.11789999999999999,False,,,24 months,$150.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,70.74,,01077,12/02/19 00:14
