Supplier_Name,Rate_Type,Fixed_Charge,Variable_Rate,Introductory_Rate,Introductory_Price_Value,Enrollment_Fee,Contract_Term,Early_Termination_Fee,Automatic_Renewal_Type,Automatic_Renewal_Detail,Percent_Renewable,Renewable_Description,Incentives_Special_Terms,Incumbent_Flag,Estimated_Cost,Other_Product_Services,Zipcode,Date_Downloaded
NSTAR d/b/a Eversource Energy,,,0.10836,False,,,Jul '19 through Dec '19 |Jan '20 through Jun '20 ,,False,,0.0,,,True,73.2484,,01754,12/02/19 00:14
SmartEnergy,Fixed,,0.149,False,,,6 months,,True,Automatic renewal: Variable-price product,100.0,Other | 100%,,False,89.4,,01754,12/02/19 00:14
Sunwave Gas & Power,Fixed,,0.12815,False,,,9 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,76.89,,01754,12/02/19 00:14
Eligo Energy MA,Fixed,,0.14400000000000002,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,100.0,Unknown | 100%,,False,86.4,,01754,12/02/19 00:14
Just Energy Massachusetts,Fixed,,0.12390000000000001,False,,,36 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,"You’ll receive 16,000 Just Energy Perks points equivalent to $160 and 2 FREE LED bulbs.
Visit www.justenergyperks.com",False,74.34,Rewards Programs,01754,12/02/19 00:14
Eligo Energy MA,Fixed,,0.1348,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,80.88,,01754,12/02/19 00:14
Think Energy,Fixed,,0.11599999999999999,False,,,24 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,69.6,,01754,12/02/19 00:14
Massachusetts Gas & Electric,Fixed,,0.1249,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,74.94,,01754,12/02/19 00:14
Starion Energy,Fixed,,0.1079,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,64.74,"Gift Card,Rewards Programs",01754,12/02/19 00:14
Indra Energy MA,Fixed,,0.16399999999999998,True,13.40 ¢/kWh for initial 1 months,,18 months,,True,Automatic renewal: Variable-price product,100.0,Other | 100%,,False,97.4,,01754,12/02/19 00:14
NRG Home,Fixed,,0.135,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,81.0,,01754,12/02/19 00:14
Discount Power,Fixed,,0.128,False,,,36 months,$200.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,Eligible for a $100 monthly shopping and dining reward upon successful service start with Discount Power,False,76.8,Rewards Programs,01754,12/02/19 00:14
Town Square Energy,Fixed,,0.13970000000000002,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,83.82,,01754,12/02/19 00:14
NRG Home,Fixed,,0.149,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,89.4,,01754,12/02/19 00:14
Eligo Energy MA,Fixed,,0.1368,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,100.0,Unknown | 100%,,False,82.08,,01754,12/02/19 00:14
