Supplier_Name,Rate_Type,Fixed_Charge,Variable_Rate,Introductory_Rate,Introductory_Price_Value,Enrollment_Fee,Contract_Term,Early_Termination_Fee,Automatic_Renewal_Type,Automatic_Renewal_Detail,Percent_Renewable,Renewable_Description,Incentives_Special_Terms,Incumbent_Flag,Estimated_Cost,Other_Product_Services,Zipcode,Date_Downloaded
Ambit Energy,Fixed,,0.125,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,,False,75.0,,01754,12/02/19 00:14
Eligo Energy MA,Fixed,,0.142,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,85.2,,01754,12/02/19 00:14
CleanChoice Energy,Fixed,,0.128,False,,,12 months,,True,Automatic renewal: Fixed-price product,100.0,"Solar | 1%, Wind | 99%","Refer today and we'll send both you and your friend $25 when their enrollment is complete https://cleanchoiceenergy.com/refer-a-friend/|Choose 100% clean, pollution-free wind & solar with CleanChoice Energy today and get a $50 Gift Card.* Sign up online or call. *Terms Apply",False,76.8,"Rewards Programs,Sponsored Promotions",01754,12/02/19 00:14
Starion Energy,Fixed,,0.11289999999999999,False,,,8 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,67.74,"Gift Card,Rewards Programs",01754,12/02/19 00:14
Constellation New Energy,Fixed,,0.12789999999999999,False,,,24 months,$150.00,True,Automatic renewal: Fixed-price product,100.0,Wind | 100%,,False,76.74,,01754,12/02/19 00:14
Discount Power,Fixed,,0.12,False,,$50.00 enrollment fee,12 months,$50.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,76.1666,,01754,12/02/19 00:14
Ambit Energy,Fixed,,0.1475,False,,,6 months,,True,Automatic renewal: Variable-price product,0.0,,,False,88.5,,01754,12/02/19 00:14
Just Energy Massachusetts,Fixed,,0.1249,False,,,24 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,"You’ll receive 12,000 Just Energy Perks points equivalent to $120 and 2 FREE LED bulbs.
Visit www.justenergyperks.com",False,74.94,Rewards Programs,01754,12/02/19 00:14
Massachusetts Gas & Electric,Fixed,,0.1309,False,,,24 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,78.54,,01754,12/02/19 00:14
Discount Power,Fixed,$4.95/month + ,0.125,False,,,12 months,$50.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,Eligible for a $100 monthly shopping and dining reward upon successful service start with Discount Power,False,79.95,Rewards Programs,01754,12/02/19 00:14
SFE Energy Massachusetts,Fixed,,0.1369,True,12.32 ¢/kWh for initial 1 months,,36 months,$2.50 per month remaining on term,True,Automatic renewal: Fixed-price product,0.0,,,False,81.9116,,01754,12/02/19 00:14
Constellation New Energy,Fixed,,0.1249,False,,,6 months,$150.00,True,Automatic renewal: Variable-price product,0.0,,,False,74.94,,01754,12/02/19 00:14
SFE Energy Massachusetts,Fixed,,0.1567,True,14.30 ¢/kWh for initial 1 months,,36 months,$2.50 per month remaining on term,True,Automatic renewal: Fixed-price product,0.0,,"SFE will purchase and retire, an amount of Emissions Credits to offset 100% of CO2 or CO2e produced based on your Electricity usage amount.|If you don’t save money over the course of your
term, you will be eligible for up to a $75 rebate for
your 3-year program",False,93.7916,"Carbon Offset,Cash Back",01754,12/02/19 00:14
IGS Energy,Fixed,,0.12789999999999999,False,,,36 months,$99.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,76.74,,01754,12/02/19 00:14
Sunwave Gas & Power,Fixed,,0.14205,False,,,6 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,85.23,,01754,12/02/19 00:14
Town Square Energy,Fixed,,0.1157,False,,,24 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,,False,69.42,,01754,12/02/19 00:14
Think Energy,Fixed,,0.132,False,,,6 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,79.2,,01754,12/02/19 00:14
Verde Energy USA,Fixed,,0.12990000000000002,False,,,24 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%",$100 rebate- Receive the first $50 after one month of service and the second $50 after 6 months of service.,False,77.94,Cash Back,01754,12/02/19 00:14
Town Square Energy,Fixed,,0.1042,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,,False,62.52,,01754,12/02/19 00:14
Starion Energy,Fixed,,0.10490000000000001,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,62.94,"Gift Card,Rewards Programs",01754,12/02/19 00:14
Verde Energy USA,Fixed,,0.1499,False,,,6 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%",,False,89.94,,01754,12/02/19 00:14
Think Energy,Fixed,,0.132,False,,,18 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,79.2,,01754,12/02/19 00:14
Energy Rewards,Fixed,,0.1189,False,,,6 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,71.34,,01754,12/02/19 00:14
Constellation New Energy,Fixed,,0.12990000000000002,False,,,12 months,$150.00,True,Automatic renewal: Fixed-price product,100.0,Wind | 100%,,False,77.94,,01754,12/02/19 00:14
Discount Power,Fixed,,0.13,False,,,24 months,$100.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,Eligible for a $100 monthly shopping and dining reward upon successful service start with Discount Power,False,78.0,Rewards Programs,01754,12/02/19 00:14
Think Energy,Fixed,,0.12,False,,,12 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,72.0,,01754,12/02/19 00:14
Indra Energy MA,Fixed,,0.162,True,13.40 ¢/kWh for initial 1 months,,14 months,,True,Automatic renewal: Variable-price product,0.0,,,False,96.0,,01754,12/02/19 00:14
Starion Energy,Fixed,,0.1099,False,,,8 months,,True,Automatic renewal: Variable-price product,0.0,,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,65.94,"Gift Card,Rewards Programs",01754,12/02/19 00:14
Sunwave Gas & Power,Fixed,,0.1252,False,,,12 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,75.12,,01754,12/02/19 00:14
Ambit Energy,Fixed,,0.145,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,87.0,,01754,12/02/19 00:14
Constellation New Energy,Fixed,,0.1109,False,,,12 months,$150.00,True,Automatic renewal: Variable-price product,0.0,,,False,66.54,,01754,12/02/19 00:14
Verde Energy USA,Fixed,,0.12990000000000002,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%","Mail-in rebate totaling $100. 
First month receive first $50, after your sixth month receive second $50!",False,77.94,Cash Back,01754,12/02/19 00:14
Town Square Energy,Fixed,,0.1097,False,,,36 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,,False,65.82,,01754,12/02/19 00:14
IGS Energy,Fixed,,0.12890000000000001,False,,,12 months,$99.00,True,Automatic renewal: Variable-price product,0.0,,,False,77.34,,01754,12/02/19 00:14
Green Mountain Energy,Fixed,,0.13699999999999998,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,82.2,,01754,12/02/19 00:14
