Service Territory ,NSTAR d/b/a Eversource Energy
Customer Class,Residential

Product Filter
Pricing,$0 to $500
Contract Term,3 months to 60 months
Minimum Monthly cost,0
Maximum Monthly cost,500
Minimum Contract Term,3
Maximum Contract Term,60

Product Sorting,Monthly Cost: Low to High
Supplier Name,Pricing Structure,Price $/month,Price (cents/kWh),Introductory Price,Enrollment Fee,Contract Term,Cancellation Fee,Automatic Renewal,Renewable Energy Content %,100% New Regional Resources,Additional Products/Services,Estimated Monthly Cost
"Eligo Energy MA","Fixed"," ","14.200 cents/kWh"," "," ","6 months","$10.00 per month remaining on term","Variable-price product"," ","No","","$85.20"
"Sunwave Gas & Power","Fixed"," ","14.390 cents/kWh"," "," ","6 months","$50.00","Fixed-price product"," ","No","","$86.34"
"Eligo Energy MA","Fixed"," ","14.400 cents/kWh"," "," ","6 months","$10.00 per month remaining on term","Variable-price product","100%","No","","$86.40"
"Ambit Energy","Fixed"," ","14.500 cents/kWh"," "," ","12 months"," ","Variable-price product","100%","No","","$87.00"
"Ambit Energy","Fixed"," ","14.750 cents/kWh"," "," ","6 months"," ","Variable-price product"," ","No","","$88.50"
"NRG Home","Fixed"," ","14.900 cents/kWh"," "," ","6 months","$10.00 per month remaining on term","Variable-price product"," ","No","","$89.40"
"SmartEnergy","Fixed"," ","14.900 cents/kWh"," "," ","6 months"," ","Variable-price product","100%","No","","$89.40"
"Verde Energy USA","Fixed"," ","14.990 cents/kWh"," "," ","6 months"," ","Variable-price product","100%","No","","$89.94"
"SFE Energy Massachusetts","Fixed"," ","15.670 cents/kWh","14.30 cents/kWh for initial 1 months"," ","36 months","$2.50 per month remaining on term","Fixed-price product"," ","No","Carbon Offset,Cash Back","$93.79"
"Indra Energy MA","Fixed"," ","16.200 cents/kWh","13.40 cents/kWh for initial 1 months"," ","14 months"," ","Variable-price product"," ","No","","$96.00"
"Eligo Energy MA","Fixed"," ","16.030 cents/kWh"," "," ","12 months","$10.00 per month remaining on term","Variable-price product"," ","No","","$96.18"
"Eligo Energy MA","Fixed"," ","16.230 cents/kWh"," "," ","12 months","$10.00 per month remaining on term","Variable-price product","100%","No","","$97.38"
"Indra Energy MA","Fixed"," ","16.400 cents/kWh","13.40 cents/kWh for initial 1 months"," ","18 months"," ","Variable-price product","100%","No","","$97.40"
zckharsh, 600
