Supplier_Name,Rate_Type,Fixed_Charge,Variable_Rate,Introductory_Rate,Enrollment_Fee,Contract_Term,Early_Termination_Fee,Automatic_Renewal_Type,Percent_Renewable,New_Regional_Resources,Incentives_Special_Terms,Est_Monthly_Bill_Default,Date_Downloaded,Incumbent_Flag,Plan_Order_Rank
Eligo Energy MA,Fixed, ,0.142, , ,6 months,$10.00 per month remaining on term,Variable-price product, ,No,,$85.20,11/10/19 16:14,False,44
Sunwave Gas & Power,Fixed, ,0.1439, , ,6 months,$50.00,Fixed-price product, ,No,,$86.34,11/10/19 16:14,False,45
Eligo Energy MA,Fixed, ,0.14400000000000002, , ,6 months,$10.00 per month remaining on term,Variable-price product,100%,No,,$86.40,11/10/19 16:14,False,46
Ambit Energy,Fixed, ,0.145, , ,12 months, ,Variable-price product,100%,No,,$87.00,11/10/19 16:14,False,47
Ambit Energy,Fixed, ,0.1475, , ,6 months, ,Variable-price product, ,No,,$88.50,11/10/19 16:14,False,48
NRG Home,Fixed, ,0.149, , ,6 months,$10.00 per month remaining on term,Variable-price product, ,No,,$89.40,11/10/19 16:14,False,49
SmartEnergy,Fixed, ,0.149, , ,6 months, ,Variable-price product,100%,No,,$89.40,11/10/19 16:14,False,50
Verde Energy USA,Fixed, ,0.1499, , ,6 months, ,Variable-price product,100%,No,,$89.94,11/10/19 16:14,False,51
SFE Energy Massachusetts,Fixed, ,0.1567,14.30 cents/kWh for initial 1 months, ,36 months,$2.50 per month remaining on term,Fixed-price product, ,No,"Carbon Offset,Cash Back",$93.79,11/10/19 16:14,False,52
Indra Energy MA,Fixed, ,0.162,13.40 cents/kWh for initial 1 months, ,14 months, ,Variable-price product, ,No,,$96.00,11/10/19 16:14,False,53
Eligo Energy MA,Fixed, ,0.1603, , ,12 months,$10.00 per month remaining on term,Variable-price product, ,No,,$96.18,11/10/19 16:14,False,54
Eligo Energy MA,Fixed, ,0.1623, , ,12 months,$10.00 per month remaining on term,Variable-price product,100%,No,,$97.38,11/10/19 16:14,False,55
Indra Energy MA,Fixed, ,0.16399999999999998,13.40 cents/kWh for initial 1 months, ,18 months, ,Variable-price product,100%,No,,$97.40,11/10/19 16:14,False,56
