date_downloaded,TDU_service_territory,supplier_name,plan_id,incumbent_flag,plan_order_rank,contract_term_1,contract_term_2,early_termination_fee,enrollment_fee,percent_renewable,rate_type,variable_rate_1,variable_rate_2,fixed_charge,additional_incentives,enroll_online,new_customer_only,estimated_monthly_cost,estimated_savings
2020-03-24,Eversource,"Discount Power, Inc.",116111,False,32,9,,50.00,0.00,1.00,Fixed,0.0889,,0.00,Includes monthly online shopping/dining rewards program.,True,True,66.68,3.92
2020-03-24,Eversource,"Constellation NewEnergy, Inc.",117086,False,33,36,,50.00,0.00,0.29,Fixed,0.0899,,0.00,,False,False,67.43,3.17
2020-03-24,Eversource,"Verde Energy USA, Inc.",117196,False,34,12,,0.00,0.00,1.00,Fixed,0.0899,,0.00,Rebate offer.,True,True,67.43,3.17
2020-03-24,Eversource,"XOOM Energy Connecticut, LLC",117756,False,35,18,,50.00,0.00,0.29,Fixed,0.0899,,0.00,,False,False,67.43,3.17
2020-03-24,Eversource,Ambit Energy,114296,False,36,6,,0.00,0.00,0.29,Fixed,0.0900,,0.00,,False,False,67.50,3.11
2020-03-24,Eversource,Energy Rewards,118006,False,37,24,,50.00,0.00,1.00,Fixed,0.0919,,0.00,,False,False,68.93,1.67
2020-03-24,Eversource,Sunwave Gas &amp; Power,118551,False,38,5,,50.00,0.00,0.29,Fixed,0.0927,,0.00,,False,False,69.50,1.11
2020-03-24,Eversource,Direct Energy,117636,False,39,24,,0.00,0.00,1.00,Fixed,0.0929,,0.00,,True,True,69.68,0.92
2020-03-24,Eversource,Energy Rewards,118001,False,40,12,,0.00,0.00,1.00,Fixed,0.0929,,0.00,,False,False,69.68,0.92
2020-03-24,Eversource,"XOOM Energy Connecticut, LLC",117741,False,41,12,,50.00,0.00,0.29,Fixed,0.0929,,0.00,,False,False,69.68,0.92
2020-03-24,Eversource,"Connecticut Gas &amp; Electric, Inc.",117781,False,42,6,,50.00,0.00,0.29,Fixed,0.0939,,0.00,,False,False,70.43,0.17
2020-03-24,Eversource,"XOOM Energy Connecticut, LLC",117746,False,43,12,,50.00,0.00,0.50,Fixed,0.0939,,0.00,,False,False,70.43,0.17
2020-03-24,Eversource,"Starion Energy, Inc.",118476,False,44,8,,0.00,0.00,1.00,Fixed,0.0949,,0.00,Contact supplier regarding the renewable energy content of this offer.,False,True,71.18,-0.58
2020-03-24,Eversource,"Viridian Energy, LLC",118041,False,45,24,,50.00,0.00,0.50,Fixed,0.0971,,0.00,,False,False,72.83,-2.22
2020-03-24,Eversource,"Connecticut Gas &amp; Electric, Inc.",117836,False,46,18,,50.00,0.00,0.29,Fixed,0.0979,,0.00,,False,False,73.43,-2.83
2020-03-24,Eversource,"Major Energy Electric Services, LLC",118091,False,47,24,,0.00,0.00,0.29,Fixed,0.0979,,0.00,,True,True,73.43,-2.83
2020-03-24,Eversource,"XOOM Energy Connecticut, LLC",117751,False,48,12,,50.00,0.00,0.29,Fixed,0.0979,,0.00,Supplier will make a charitable donation based on customer usage. Contact XOOM for details.,False,False,73.43,-2.83
2020-03-24,Eversource,Think Energy,113551,False,49,24,,45.00,0.00,1.00,Fixed,0.0980,,0.00,,False,True,73.50,-2.89
2020-03-24,Eversource,"Viridian Energy, LLC",118036,False,50,12,,50.00,0.00,0.50,Fixed,0.0980,,0.00,,False,False,73.50,-2.89
2020-03-24,Eversource,"Major Energy Electric Services, LLC",118081,False,51,12,,0.00,0.00,0.29,Fixed,0.0989,,0.00,,True,True,74.18,-3.58
2020-03-24,Eversource,"Major Energy Electric Services, LLC",118111,False,52,24,,0.00,0.00,1.00,Fixed,0.0989,,0.00,,True,True,74.18,-3.58
2020-03-24,Eversource,"Constellation NewEnergy, Inc.",117081,False,53,12,,50.00,0.00,0.29,Fixed,0.0999,,0.00,,False,False,74.93,-4.33
2020-03-24,Eversource,"Discount Power, Inc.",115326,False,54,36,,50.00,0.00,1.00,Fixed,0.0999,,0.00,Includes monthly online shopping/dining rewards program.,True,True,74.93,-4.33
2020-03-24,Eversource,"Major Energy Electric Services, LLC",118101,False,55,12,,0.00,0.00,1.00,Fixed,0.0999,,0.00,,True,True,74.93,-4.33
