date_downloaded,TDU_service_territory,supplier_name,plan_id,Low_lag1,High_lag1,Low_lag2,High_lag2,Low_lag3,High_lag3,Low_lag4,High_lag4,Low_lag5,High_lag5,Low_lag6,High_lag6,Low_lag7,High_lag7,Low_lag8,High_lag8,Low_lag9,High_lag9,Low_lag10,High_lag10,Low_lag11,High_lag11,Low_lag12,High_lag12
2020-05-23,Eversource,Eversource,121871,N/A,N/A,N/A,N/A,N/A,N/A,0.069,0.183,0.069,0.183,0.067,0.183,0.054,0.183,0.077,0.183,0.076,0.192,0.059,0.184,0.077,0.184,0.076,0.2
2020-05-23,Eversource,"Clearview Electric, Inc.",119666,0.0799,0.163,0.0789,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163
2020-05-23,Eversource,"Starion Energy, Inc.",119921,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.179,0.073,0.179
2020-05-23,Eversource,"Public Power, LLC",121981,0.066,0.183,0.059,0.183,0.059,0.183,0.064,0.183,0.064,0.183,0.059,0.183,0.059,0.183,0.069,0.183,0.069,0.183,0.067,0.183,0.054,0.183,0.077,0.183
2020-05-23,Eversource,Sunwave Gas &amp; Power,119561,0.0941,0.108,0.103,0.13,0.103,0.144,0.0781,0.152,0.0768,0.131,0.078,0.101,0.0767,0.102,0.0755,0.102,0.075,0.102,0.078,0.102,0.09,0.116,0.092,0.18
2020-05-23,Eversource,Direct Energy,121171,0.135,0.14,0.147,0.148,0.156,0.157,0.148,0.149,0.159,0.162,0.136,0.145,0.123,0.131,0.126,0.135,0.124,0.13,0.128,0.135,0.123,0.13,0.136,0.138
2020-05-23,Eversource,"Discount Power, Inc.",121901,0.199,0.199,0.149,0.199,0.149,0.199,0.149,0.199,0.179,0.199,0.149,0.199,0.149,0.179,0.149,0.179,0.149,0.179,0.149,0.179,0.119,0.149,0.119,0.179
2020-05-23,Eversource,"Liberty Power Holdings, LLC",122036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
2020-05-23,Eversource,Ambit Energy,121721,0.094,0.189,0.094,0.189,0.094,0.189,0.094,0.189,0.094,0.189,0.0836,0.189,0.0855,0.189,0.0855,0.189,0.0855,0.189,0.0855,0.189,0.094,0.189,0.094,0.189
2020-05-23,Eversource,"Connecticut Gas &amp; Electric, Inc.",120806,0.098,0.177,0.17,0.17,0.17,0.17,0.157,0.17,0.157,0.17,0.157,0.17,0.157,0.17,0.157,0.17,0.157,0.17,0.157,0.17,0.157,0.17,0.157,0.17
2020-05-23,Eversource,North American Power,119236,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179
2020-05-23,Eversource,Think Energy,121771,0.111,0.113,0.099,0.1,0.124,0.128,0.134,0.134,0.112,0.113,0.092,0.093,0.1,0.1,0.085,0.086,0.085,0.097,0.094,0.101,0.089,0.1,0.097,0.131
2020-05-23,Eversource,"Viridian Energy, LLC",121056,0.117,0.168,0.117,0.176,0.117,0.175,0.117,0.175,0.117,0.175,0.117,0.175,0.117,0.176,0.119,0.175,0.119,0.176,0.119,0.175,0.1,0.175,0.059,0.175
2020-05-23,Eversource,"Choice Energy, LLC",115186,0.075,0.17,0.11,0.17,0.11,0.17,0.11,0.17,0.11,0.17,0.11,0.17,0.11,0.17,0.11,0.17,0.11,0.17,0.11,0.17,0.11,0.17,0.11,0.17
