date_downloaded,TDU_service_territory,supplier_name,plan_id,incumbent_flag,plan_order_rank,contract_term_1,contract_term_2,early_termination_fee,enrollment_fee,percent_renewable,rate_type,variable_rate_1,variable_rate_2,fixed_charge,additional_incentives,enroll_online,new_customer_only,estimated_monthly_cost,estimated_savings
2020-03-31,Eversource,Eversource,54645,True,0,,,0.00,0.00,0.29,Fixed,0.0941,,0.00,"Fixed until June 30, 2020.",False,False,70.61,0.00
2020-03-31,Eversource,Town Square Energy,119026,False,1,7,,0.00,0.00,0.29,Fixed,0.0695,,0.00,,False,False,52.13,18.48
2020-03-31,Eversource,"Liberty Power Holdings, LLC (EA)",118996,False,2,6,,50.00,0.00,0.29,Fixed,0.0697,,0.00,,False,False,52.28,18.33
2020-03-31,Eversource,"Discount Power, Inc.",119141,False,3,6,,0.00,0.00,0.29,Fixed,0.0699,,0.00,Includes monthly online shopping/dining rewards program.,True,True,52.43,18.18
2020-03-31,Eversource,Direct Energy,119021,False,4,8,,0.00,0.00,0.29,Fixed,0.0707,,0.00,,True,True,53.03,17.58
2020-03-31,Eversource,"Clearview Electric, Inc.",118361,False,5,6,,50.00,0.00,1.00,Fixed,0.0709,,0.00,,True,False,53.18,17.43
2020-03-31,Eversource,"Discount Power, Inc.",119136,False,6,6,,0.00,0.00,1.00,Fixed,0.0709,,0.00,Includes monthly online shopping/dining rewards program.,True,True,53.18,17.43
2020-03-31,Eversource,"Public Power, LLC (EA)",118161,False,7,9,,0.00,0.00,0.29,Fixed,0.0709,,0.00,,True,True,53.18,17.43
2020-03-31,Eversource,"Public Power, LLC (EA)",118171,False,8,9,,0.00,0.00,0.29,Fixed,0.0309,,30.00,"Monthly Capacity Fee is fixed for the term of the offer and billed separately by the supplier. Estimated annual usage must not exceed 30,000 kWh.",True,True,23.18,17.43
2020-03-31,Eversource,"Public Power, LLC (EA)",118166,False,9,9,,0.00,0.00,0.29,Fixed,0.0539,,12.95,"Monthly Capacity Fee is fixed for the term of the offer and billed separately by the supplier. Estimated annual usage must not exceed 30,000 kWh.",True,True,40.43,17.23
2020-03-31,Eversource,"Clearview Electric, Inc.",117476,False,10,9,,50.00,0.00,1.00,Fixed,0.0719,,0.00,,True,False,53.93,16.68
2020-03-31,Eversource,"Starion Energy, Inc.",117586,False,11,9,,0.00,0.00,0.29,Fixed,0.0729,,0.00,,False,True,54.68,15.93
2020-03-31,Eversource,Sunwave Gas &amp; Power,118471,False,12,6,,50.00,0.00,0.29,Fixed,0.0751,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,56.29,14.32
2020-03-31,Eversource,"Public Power, LLC",117916,False,13,4,,50.00,0.00,0.29,Fixed,0.0757,,0.00,,False,False,56.78,13.83
2020-03-31,Eversource,Town Square Energy,118661,False,14,36,,50.00,0.00,0.29,Fixed,0.0770,,0.00,,False,False,57.75,12.86
2020-03-31,Eversource,"Discount Power, Inc.",119126,False,15,6,,0.00,50.00,1.00,Fixed,0.0660,,0.00,Includes monthly online shopping/dining rewards program.,True,True,49.50,12.78
2020-03-31,Eversource,"Liberty Power Holdings, LLC",119086,False,16,36,,50.00,0.00,0.29,Fixed,0.0773,,0.00,$30 rebate after 6 months.,True,False,57.97,12.64
2020-03-31,Eversource,Town Square Energy,116141,False,17,10,12,50.00,0.00,0.29,Tiered,0.0787,0.0887,0.00,,False,False,59.03,11.58
2020-03-31,Eversource,"Verde Energy USA, Inc.",118396,False,18,6,,0.00,0.00,1.00,Fixed,0.0789,,0.00,,True,True,59.18,11.43
2020-03-31,Eversource,"Liberty Power Holdings, LLC",119081,False,19,36,,50.00,0.00,1.00,Fixed,0.0795,,0.00,$30 rebate after 6 months.,False,False,59.63,10.98
2020-03-31,Eversource,Town Square Energy,115946,False,20,22,,0.00,0.00,0.29,Fixed,0.0808,,0.00,,False,False,60.60,10.01
2020-03-31,Eversource,Sunwave Gas &amp; Power,118466,False,21,12,,50.00,0.00,0.29,Fixed,0.0816,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,61.16,9.45
