date_downloaded,TDU_service_territory,supplier_name,plan_id,incumbent_flag,plan_order_rank,contract_term_1,contract_term_2,early_termination_fee,enrollment_fee,percent_renewable,rate_type,variable_rate_1,variable_rate_2,fixed_charge,additional_incentives,enroll_online,new_customer_only,estimated_monthly_cost,estimated_savings
05/22/2020 22:28:28,Eversource,Eversource,54645,True,0,,,0.00,0.00,0.29,Fixed,0.0941,,0.00,Fixed for six months.,False,False,70.61,0.00
05/22/2020 22:28:28,Eversource,Town Square Energy,121856,False,1,7,29,0.00,0.00,0.29,Tiered,0.0662,0.0997,0.00,,False,False,49.65,20.96
05/22/2020 22:28:28,Eversource,Town Square Energy,121851,False,2,6,,0.00,0.00,0.29,Fixed,0.0664,,0.00,,False,False,49.80,20.81
05/22/2020 22:28:28,Eversource,"Liberty Power Holdings, LLC (EA)",122051,False,3,4,,0.00,0.00,0.29,Fixed,0.0679,,0.00,$15 Gift Card Offer upon completion of plan's 3rd billing cycle.,True,False,50.93,19.68
05/22/2020 22:28:28,Eversource,"Public Power, LLC (EA)",121871,False,4,6,,0.00,0.00,0.29,Fixed,0.0684,,0.00,,True,True,51.30,19.31
05/22/2020 22:28:28,Eversource,"Liberty Power Holdings, LLC (EA)",122061,False,5,5,,0.00,0.00,0.29,Fixed,0.0688,,0.00,$15 Gift Card Offer upon completion of plan's 3rd billing cycle.,True,False,51.60,19.01
05/22/2020 22:28:28,Eversource,"Clearview Electric, Inc.",119666,False,6,6,,50.00,0.00,1.00,Fixed,0.0689,,0.00,,True,False,51.68,18.93
05/22/2020 22:28:28,Eversource,"Starion Energy, Inc.",119921,False,7,6,,0.00,0.00,0.29,Fixed,0.0689,,0.00,,False,True,51.68,18.93
05/22/2020 22:28:28,Eversource,"Major Energy Electric Services, LLC",120386,False,8,6,,0.00,0.00,0.29,Fixed,0.0699,,0.00,,True,True,52.43,18.18
05/22/2020 22:28:28,Eversource,"Public Power, LLC",121981,False,9,5,,50.00,0.00,0.29,Fixed,0.0699,,0.00,,False,False,52.43,18.18
05/22/2020 22:28:28,Eversource,"Public Power, LLC",121986,False,10,7,,50.00,0.00,0.29,Fixed,0.0703,,0.00,,False,False,52.73,17.88
05/22/2020 22:28:28,Eversource,Sunwave Gas &amp; Power,119561,False,11,6,,50.00,0.00,0.29,Fixed,0.0704,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,52.78,17.83
05/22/2020 22:28:28,Eversource,Direct Energy,121171,False,12,8,,0.00,0.00,0.29,Fixed,0.0707,,0.00,,True,True,53.03,17.58
05/22/2020 22:28:28,Eversource,"Clearview Electric, Inc.",117476,False,13,9,,50.00,0.00,1.00,Fixed,0.0719,,0.00,,True,False,53.93,16.68
05/22/2020 22:28:28,Eversource,"Public Power, LLC",120951,False,14,4,,50.00,0.00,0.29,Fixed,0.0719,,0.00,,False,False,53.93,16.68
05/22/2020 22:28:28,Eversource,"Starion Energy, Inc.",119906,False,15,6,,0.00,0.00,1.00,Fixed,0.0719,,0.00,Contact supplier regarding the renewable energy content of this offer.,False,True,53.93,16.68
05/22/2020 22:28:28,Eversource,"Verde Energy USA, Inc.",122181,False,16,6,,0.00,0.00,1.00,Fixed,0.0719,,0.00,,True,True,53.93,16.68
05/22/2020 22:28:28,Eversource,"Discount Power, Inc.",121901,False,17,6,,0.00,0.00,1.00,Fixed,0.0735,,0.00,Includes monthly online shopping/dining rewards program.,True,True,55.13,15.48
05/22/2020 22:28:28,Eversource,"Discount Power, Inc.",121096,False,18,6,,0.00,50.00,1.00,Fixed,0.0638,,0.00,Includes monthly online shopping/dining rewards program.,True,True,47.85,14.43
05/22/2020 22:28:28,Eversource,Town Square Energy,121896,False,19,17,,0.00,0.00,0.29,Fixed,0.0765,,0.00,,False,False,57.38,13.23
05/22/2020 22:28:28,Eversource,"Liberty Power Holdings, LLC (EA)",122056,False,20,17,,0.00,0.00,0.29,Fixed,0.0781,,0.00,$15 Gift Card Offer upon completion of plan's 3rd billing cycle.,True,False,58.58,12.03
05/22/2020 22:28:28,Eversource,Town Square Energy,121586,False,21,36,,50.00,0.00,0.29,Fixed,0.0783,,0.00,,False,False,58.72,11.89
05/22/2020 22:28:28,Eversource,Direct Energy,121161,False,22,18,,0.00,0.00,0.29,Fixed,0.0789,,0.00,,True,True,59.18,11.43
05/22/2020 22:28:28,Eversource,Sunwave Gas &amp; Power,119556,False,23,12,,50.00,0.00,0.29,Fixed,0.0790,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,59.21,11.40
05/22/2020 22:28:28,Eversource,"Liberty Power Holdings, LLC",122036,False,24,36,,50.00,0.00,0.29,Fixed,0.0794,,0.00,$30 Gift Card Offer upon completion of plan’s 6th billing cycle.,True,False,59.55,11.06
05/22/2020 22:28:28,Eversource,Ambit Energy,121721,False,25,6,,0.00,0.00,0.29,Fixed,0.0795,,0.00,,False,False,59.63,10.98
05/22/2020 22:28:28,Eversource,"Starion Energy, Inc.",119926,False,26,12,,0.00,0.00,0.29,Fixed,0.0799,,0.00,,False,True,59.93,10.68
05/22/2020 22:28:28,Eversource,"Liberty Power Holdings, LLC",122031,False,27,36,,50.00,0.00,1.00,Fixed,0.0814,,0.00,$30 Gift Card Offer upon completion of plan’s 6th billing cycle.,False,False,61.05,9.56
05/22/2020 22:28:28,Eversource,"Connecticut Gas &amp; Electric, Inc.",120806,False,28,6,,50.00,0.00,0.29,Fixed,0.0819,,0.00,,False,False,61.43,9.18
05/22/2020 22:28:28,Eversource,Direct Energy,121156,False,29,12,,0.00,0.00,0.29,Fixed,0.0819,,0.00,,True,True,61.43,9.18
05/22/2020 22:28:28,Eversource,"Major Energy Electric Services, LLC",122141,False,30,12,,0.00,0.00,0.29,Fixed,0.0819,,0.00,,True,True,61.43,9.18
05/22/2020 22:28:28,Eversource,"Major Energy Electric Services, LLC",122151,False,31,24,,0.00,0.00,0.29,Fixed,0.0819,,0.00,,True,True,61.43,9.18
05/22/2020 22:28:28,Eversource,Town Square Energy,118416,False,32,12,,0.00,0.00,0.29,Fixed,0.0827,,0.00,,False,False,62.03,8.58
05/22/2020 22:28:28,Eversource,"Clearview Electric, Inc.",111626,False,33,12,,50.00,0.00,1.00,Fixed,0.0829,,0.00,,True,False,62.18,8.43
05/22/2020 22:28:28,Eversource,North American Power,119236,False,34,14,,50.00,0.00,0.29,Fixed,0.0829,,0.00,,False,False,62.18,8.43
05/22/2020 22:28:28,Eversource,"Verde Energy USA, Inc.",122171,False,35,12,,0.00,0.00,1.00,Fixed,0.0829,,0.00,,True,True,62.18,8.43
05/22/2020 22:28:28,Eversource,"Verde Energy USA, Inc.",122191,False,36,24,,0.00,0.00,1.00,Fixed,0.0829,,0.00,,True,True,62.18,8.43
05/22/2020 22:28:28,Eversource,"Discount Power, Inc.",121911,False,37,18,,0.00,0.00,1.00,Fixed,0.0830,,0.00,Includes monthly online shopping/dining rewards program.,True,True,62.25,8.36
05/22/2020 22:28:28,Eversource,Direct Energy,121166,False,38,36,,0.00,0.00,0.29,Fixed,0.0839,,0.00,,True,True,62.93,7.68
05/22/2020 22:28:28,Eversource,"Public Power, LLC",120956,False,39,12,,50.00,0.00,0.29,Fixed,0.0839,,0.00,,False,False,62.93,7.68
05/22/2020 22:28:28,Eversource,"Discount Power, Inc.",121906,False,40,12,,0.00,0.00,0.29,Fixed,0.0847,,0.00,Includes monthly online shopping/dining rewards program.,True,True,63.53,7.08
